No.,groupNo,randomSeed,numberOfWorkers,maxSolverExecutionTimeInSeconds,processCount,processExecutionTimeMin,processExecutionTimeMax,computerCount,conflictPercentage,timeWeight,ProcessSortType,looseReviewRound
577,1,1,-1,-1,50,5,10,5,15,100,3,29
577,1,1,-1,-1,50,5,10,5,15,100,3,29
578,1,2,-1,-1,50,5,10,5,15,100,3,29
579,1,3,-1,-1,50,5,10,5,15,100,3,29
580,2,1,-1,-1,50,5,10,5,25,100,3,29
581,2,2,-1,-1,50,5,10,5,25,100,3,29
582,2,3,-1,-1,50,5,10,5,25,100,3,29
583,3,1,-1,-1,50,5,10,5,35,100,3,29
584,3,2,-1,-1,50,5,10,5,35,100,3,29
585,3,3,-1,-1,50,5,10,5,35,100,3,29
586,4,1,-1,-1,50,5,10,5,45,100,3,29
587,4,2,-1,-1,50,5,10,5,45,100,3,29
588,4,3,-1,-1,50,5,10,5,45,100,3,29
589,5,1,-1,-1,100,5,10,5,15,100,3,29
590,5,2,-1,-1,100,5,10,5,15,100,3,29
591,5,3,-1,-1,100,5,10,5,15,100,3,29
592,6,1,-1,-1,100,5,10,5,25,100,3,29
593,6,2,-1,-1,100,5,10,5,25,100,3,29
594,6,3,-1,-1,100,5,10,5,25,100,3,29
595,7,1,-1,-1,100,5,10,5,35,100,3,29
596,7,2,-1,-1,100,5,10,5,35,100,3,29
597,7,3,-1,-1,100,5,10,5,35,100,3,29
598,8,1,-1,-1,100,5,10,5,45,100,3,29
599,8,2,-1,-1,100,5,10,5,45,100,3,29
600,8,3,-1,-1,100,5,10,5,45,100,3,29
601,9,1,-1,-1,150,5,10,5,15,100,3,29
602,9,2,-1,-1,150,5,10,5,15,100,3,29
603,9,3,-1,-1,150,5,10,5,15,100,3,29
604,10,1,-1,-1,150,5,10,5,25,100,3,29
605,10,2,-1,-1,150,5,10,5,25,100,3,29
606,10,3,-1,-1,150,5,10,5,25,100,3,29
607,11,1,-1,-1,150,5,10,5,35,100,3,29
608,11,2,-1,-1,150,5,10,5,35,100,3,29
609,11,3,-1,-1,150,5,10,5,35,100,3,29
610,12,1,-1,-1,150,5,10,5,45,100,3,29
611,12,2,-1,-1,150,5,10,5,45,100,3,29
612,12,3,-1,-1,150,5,10,5,45,100,3,29
613,13,1,-1,-1,200,5,10,5,15,100,3,29
614,13,2,-1,-1,200,5,10,5,15,100,3,29
615,13,3,-1,-1,200,5,10,5,15,100,3,29
616,14,1,-1,-1,200,5,10,5,25,100,3,29
617,14,2,-1,-1,200,5,10,5,25,100,3,29
618,14,3,-1,-1,200,5,10,5,25,100,3,29
619,15,1,-1,-1,200,5,10,5,35,100,3,29
620,15,2,-1,-1,200,5,10,5,35,100,3,29
621,15,3,-1,-1,200,5,10,5,35,100,3,29
622,16,1,-1,-1,200,5,10,5,45,100,3,29
623,16,2,-1,-1,200,5,10,5,45,100,3,29
624,16,3,-1,-1,200,5,10,5,45,100,3,29
