no, groupNo, randomSeed, numberOfWorkers,maxSolverExecutionTimeInSeconds, processCount, processExecutionTimeMin(ms), processExecutionTimeMax(ms), computerCount, conflictPercentage, timeWeight, solverWallTime(ms), makespan(ms), parallelTimeSum(ms), serialTimeHorizon(ms), solverStatus, speedupFactor, currentTimestamp
1,1,1,-1,-1,50,5,10,3,15,100,2.639600,139,141.639600,376,possible,2.654625,2025-02-04 22:31:45
2,1,2,-1,-1,50,5,10,3,15,100,0.096800,135,135.096800,358,possible,2.649952,2025-02-04 22:31:45
3,1,3,-1,-1,50,5,10,3,15,100,0.062600,139,139.062600,374,possible,2.689436,2025-02-04 22:31:45
4,2,1,-1,-1,50,5,10,3,25,100,0.090300,147,147.090300,376,possible,2.556253,2025-02-04 22:31:45
5,2,2,-1,-1,50,5,10,3,25,100,0.106300,157,157.106300,358,possible,2.278712,2025-02-04 22:31:45
6,2,3,-1,-1,50,5,10,3,25,100,0.079000,153,153.079000,374,possible,2.443183,2025-02-04 22:31:45
7,3,1,-1,-1,50,5,10,3,35,100,0.056300,164,164.056300,376,possible,2.291896,2025-02-04 22:31:45
8,3,2,-1,-1,50,5,10,3,35,100,0.055700,157,157.055700,358,possible,2.279446,2025-02-04 22:31:45
9,3,3,-1,-1,50,5,10,3,35,100,0.084700,171,171.084700,374,possible,2.186052,2025-02-04 22:31:45
10,4,1,-1,-1,50,5,10,3,45,100,0.048400,180,180.048400,376,possible,2.088327,2025-02-04 22:31:45
11,4,2,-1,-1,50,5,10,3,45,100,0.049700,191,191.049700,358,possible,1.873858,2025-02-04 22:31:45
12,4,3,-1,-1,50,5,10,3,45,100,0.039000,180,180.039000,374,possible,2.077328,2025-02-04 22:31:45
13,5,1,-1,-1,100,5,10,3,15,100,0.083200,277,277.083200,742,possible,2.677896,2025-02-04 22:31:45
14,5,2,-1,-1,100,5,10,3,15,100,0.045800,291,291.045800,752,possible,2.583786,2025-02-04 22:31:45
15,5,3,-1,-1,100,5,10,3,15,100,0.046500,300,300.046500,764,possible,2.546272,2025-02-04 22:31:45
16,6,1,-1,-1,100,5,10,3,25,100,0.099000,300,300.099000,742,possible,2.472517,2025-02-04 22:31:45
17,6,2,-1,-1,100,5,10,3,25,100,0.102200,328,328.102200,752,possible,2.291969,2025-02-04 22:31:45
18,6,3,-1,-1,100,5,10,3,25,100,0.108700,321,321.108700,764,possible,2.379257,2025-02-04 22:31:45
19,7,1,-1,-1,100,5,10,3,35,100,0.039500,337,337.039500,742,possible,2.201522,2025-02-04 22:31:45
20,7,2,-1,-1,100,5,10,3,35,100,0.040100,366,366.040100,752,possible,2.054420,2025-02-04 22:31:45
21,7,3,-1,-1,100,5,10,3,35,100,0.046300,341,341.046300,764,possible,2.240165,2025-02-04 22:31:45
22,8,1,-1,-1,100,5,10,3,45,100,0.106400,383,383.106400,742,possible,1.936799,2025-02-04 22:31:45
23,8,2,-1,-1,100,5,10,3,45,100,0.038700,396,396.038700,752,possible,1.898804,2025-02-04 22:31:45
24,8,3,-1,-1,100,5,10,3,45,100,0.053300,379,379.053300,764,possible,2.015548,2025-02-04 22:31:45
25,9,1,-1,-1,150,5,10,3,15,100,0.036700,438,438.036700,1124,possible,2.565995,2025-02-04 22:31:45
26,9,2,-1,-1,150,5,10,3,15,100,0.056200,449,449.056200,1128,possible,2.511935,2025-02-04 22:31:45
27,9,3,-1,-1,150,5,10,3,15,100,0.049600,465,465.049600,1139,possible,2.449201,2025-02-04 22:31:45
28,10,1,-1,-1,150,5,10,3,25,100,0.041200,482,482.041200,1124,possible,2.331751,2025-02-04 22:31:45
29,10,2,-1,-1,150,5,10,3,25,100,0.073800,489,489.073800,1128,possible,2.306400,2025-02-04 22:31:45
30,10,3,-1,-1,150,5,10,3,25,100,0.065900,500,500.065900,1139,possible,2.277700,2025-02-04 22:31:45
31,11,1,-1,-1,150,5,10,3,35,100,0.053500,512,512.053500,1124,possible,2.195083,2025-02-04 22:31:45
32,11,2,-1,-1,150,5,10,3,35,100,0.049600,544,544.049600,1128,possible,2.073340,2025-02-04 22:31:45
